,label_tec,label_subtec,tec_name,sentence
84,T1053,T1053.005,Scheduled Task,"BackConfig, has the ability to use scheduled tasks to repeatedly execute malicious payloads on a compromised host."
85,T1053,T1053.005,Scheduled Task,"NETWIRE, can create a scheduled task to establish persistence."
86,T1053,T1053.005,Scheduled Task,"SQLRat, has created scheduled tasks in %appdata%\Roaming\Microsoft\Templates\."
87,T1053,T1053.005,Scheduled Task,"OopsIE, creates a scheduled task to run itself every three minutes."
88,T1053,T1053.005,Scheduled Task,"Bumblebee, can achieve persistence by copying its DLL to a subdirectory of %APPDATA% and creating a Visual Basic Script that will load the DLL via a scheduled task."
89,T1053,T1053.005,Scheduled Task,"Bazar, can create a scheduled task for persistence."
90,T1053,T1053.005,Scheduled Task,"Matryoshka, can establish persistence by adding a Scheduled Task named ""Microsoft Boost Kernel Optimization""."
91,T1053,T1053.005,Scheduled Task,"GRIFFON, has used sctasks for persistence."
92,T1053,T1053.005,Scheduled Task,"ServHelper, contains modules that will use schtasks, to carry out malicious operations."
93,T1053,T1053.005,Scheduled Task,"Disco, can create a scheduled task to run every minute for persistence."
94,T1053,T1053.005,Scheduled Task,"DarkWatchman, has created a scheduled task for persistence."
95,T1053,T1053.005,Scheduled Task,"Pteranodon, schedules tasks to invoke its components in order to establish persistence."
96,T1053,T1053.005,Scheduled Task,"Stuxnet, schedules a network job to execute two minutes after host infection."
97,T1053,T1053.005,Scheduled Task,"InvisiMole, has used scheduled tasks named MSST and \Microsoft\Windows\Autochk\Scheduled to establish persistence."
98,T1053,T1053.005,Scheduled Task,"CosmicDuke, uses scheduled tasks typically named ""Watchmon Service"" for persistence."
99,T1053,T1053.005,Scheduled Task,"QakBot, has the ability to create scheduled tasks for persistence."
100,T1053,T1053.005,Scheduled Task,"POWRUNER, persists through a scheduled task that executes it every minute."
101,T1053,T1053.005,Scheduled Task,"Revenge RAT, schedules tasks to run malicious scripts at different intervals."
102,T1053,T1053.005,Scheduled Task,"Gazer, can establish persistence by creating a scheduled task."
103,T1053,T1053.005,Scheduled Task,"ISMInjector, creates scheduled tasks to establish persistence."
104,T1053,T1053.005,Scheduled Task,"Goopy, has the ability to maintain persistence by creating scheduled tasks set to run every hour."
105,T1053,T1053.005,Scheduled Task,"LitePower, can create a scheduled task to enable persistence mechanisms."
106,T1053,T1053.005,Scheduled Task,"Smoke Loader, launches a scheduled task."
107,T1053,T1053.005,Scheduled Task,"Zebrocy, has a command to create a scheduled task for persistence."
108,T1053,T1053.005,Scheduled Task,"HotCroissant, has attempted to install a scheduled task named “Java Maintenance64” on startup to establish persistence."
109,T1053,T1053.005,Scheduled Task,"QUADAGENT, creates a scheduled task to maintain persistence on the victim’s machine."
110,T1053,T1053.005,Scheduled Task,"An APT3, downloader creates persistence by creating the following scheduled task: schtasks /create /tn ""mysc"" /tr C:\Users\Public\test.exe /sc ONLOGON /ru ""System""."
111,T1053,T1053.005,Scheduled Task,"Cobalt Group, has created Windows tasks to establish persistence."
112,T1053,T1053.005,Scheduled Task,"Silence, has used scheduled tasks to stage its operation."
113,T1053,T1053.005,Scheduled Task,"Chimera, has used scheduled tasks to invoke Cobalt Strike including through batch script schtasks /create /ru ""SYSTEM"" /tn ""update"" /tr ""cmd /c c:\windows\temp\update.bat"" /sc once /f /st and to maintain persistence."
114,T1053,T1053.005,Scheduled Task,"A Patchwork, file stealer can run a TaskScheduler DLL to add persistence."
115,T1053,T1053.005,Scheduled Task,"FIN7, malware has created scheduled tasks to establish persistence."
116,T1053,T1053.005,Scheduled Task,"TA2541, has used scheduled tasks to establish persistence for installed tools."
117,T1053,T1053.005,Scheduled Task,"GALLIUM, established persistence for PoisonIvy, by created a scheduled task."
118,T1053,T1053.005,Scheduled Task,"HEXANE, has used a scheduled task to establish persistence for a keylogger."
119,T1053,T1053.005,Scheduled Task,"Mustang Panda, has created a scheduled task to execute additional malicious software, as well as maintain persistence."
120,T1053,T1053.005,Scheduled Task,"Magic Hound, has used scheduled tasks to establish persistence and execution."
121,T1053,T1053.005,Scheduled Task,"FIN13, has created scheduled tasks in the `C:\Windows` directory of the compromised network."
122,T1053,T1053.005,Scheduled Task,"ToddyCat, has used scheduled tasks to execute discovery commands and scripts for collection."
123,T1053,T1053.005,Scheduled Task,"Blue Mockingbird, has used Windows Scheduled Tasks to establish persistence on local and remote hosts."
124,T1053,T1053.005,Scheduled Task,"Molerats, has created scheduled tasks to persistently run VBScripts."
125,T1053,T1053.005,Scheduled Task,"APT29, has used named and hijacked scheduled tasks to establish persistence."
126,T1053,T1053.005,Scheduled Task,"APT39, has created scheduled tasks for persistence."
127,T1053,T1053.005,Scheduled Task,"FIN8, has used scheduled tasks to maintain RDP backdoors."
128,T1053,T1053.005,Scheduled Task,"Wizard Spider, has used scheduled tasks to establish persistence for TrickBot, and other malware."
129,T1053,T1053.005,Scheduled Task,"Higaisa, dropped and added officeupdate.exe to scheduled tasks."
130,T1053,T1053.005,Scheduled Task,"APT41, used a compromised account to create a scheduled task on a system."
131,T1053,T1053.005,Scheduled Task,"Rancor, launched a scheduled task to gain persistence using the schtasks /create /sc command."
132,T1053,T1053.005,Scheduled Task,"Machete, has created scheduled tasks to maintain Machete,'s persistence."
133,T1053,T1053.005,Scheduled Task,"FIN10, has established persistence by using S4U tasks as well as the Scheduled Task option in PowerShell Empire."
134,T1053,T1053.005,Scheduled Task,"Naikon, has used schtasks.exe for lateral movement in compromised networks."
135,T1053,T1053.005,Scheduled Task,"APT32, has used scheduled tasks to persist on victim systems."
136,T1053,T1053.005,Scheduled Task,"Fox Kitten, has used Scheduled Tasks for persistence and to load and execute a reverse proxy binary."
137,T1053,T1053.005,Scheduled Task,"APT33, has created a scheduled task to execute a .vbe file multiple times a day."
138,T1053,T1053.005,Scheduled Task,"OilRig, has created scheduled tasks that run a VBScript to execute a payload on victim machines."
139,T1053,T1053.005,Scheduled Task,"APT38, has used Task Scheduler to run programs at system startup or on a scheduled basis for persistence."
140,T1053,T1053.005,Scheduled Task,"menuPass, has used a script  to execute a command on a target machine via Task Scheduler."
141,T1053,T1053.005,Scheduled Task,"APT-C-36, has used a macro function to set scheduled tasks, disguised as those used by Google."
142,T1053,T1053.005,Scheduled Task,"FIN6, has used scheduled tasks to establish persistence for various malware it uses, including downloaders known as HARDTACK and SHIPBREAD and FrameworkPOS,."
143,T1053,T1053.005,Scheduled Task,"LuminousMoth, has created scheduled tasks to establish persistence for their tools."
144,T1053,T1053.005,Scheduled Task,"Lazarus Group, has used schtasks for persistence including through the periodic execution of a remote XSL script or a dropped VBS payload."
145,T1053,T1053.005,Scheduled Task,"BRONZE BUTLER, has used schtasks, to register a scheduled task to execute malware during lateral movement."
146,T1053,T1053.005,Scheduled Task,"Dragonfly, has used scheduled tasks to automatically log out of created accounts every 8 hours as well as to execute malicious files."
147,T1053,T1053.005,Scheduled Task,"MuddyWater, has used scheduled tasks to establish persistence."
148,T1053,T1053.005,Scheduled Task,"Gamaredon Group, has created scheduled tasks to launch executables after a designated number of minutes have passed."
149,T1053,T1053.005,Scheduled Task,"Kimsuky, has downloaded additional malware with scheduled tasks."
150,T1053,T1053.005,Scheduled Task,"Stealth Falcon, malware creates a scheduled task entitled “IE Web Cache” to execute a malicious file hourly."
151,T1053,T1053.005,Scheduled Task,"BITTER, has used scheduled tasks for persistence and execution."
152,T1053,T1053.005,Scheduled Task,"Confucius, has created scheduled tasks to maintain persistence on a compromised host."
153,T1053,T1053.005,Scheduled Task,"APT37, has created scheduled tasks to run malicious scripts on a compromised host."
154,T1053,T1053.005,Scheduled Task,"TEMP.Veles, has used scheduled task XML triggers."
155,T1053,T1053.005,Scheduled Task,"UNC2452, used scheduler and schtasks to create new tasks on remote hosts as part of lateral movement."
156,T1053,T1053.005,Scheduled Task,They also manipulated scheduled tasks by updating an existing legitimate task to execute their tools and then returned the scheduled task to its original configuration.
157,T1053,T1053.005,Scheduled Task,"UNC2452, also created a scheduled task to maintain SUNSPOT, persistence when the host booted."
158,T1053,T1053.005,Scheduled Task,"Operation Wocao, has used scheduled tasks to execute malicious PowerShell code on remote systems."
159,T1053,T1053.005,Scheduled Task,"Frankenstein, has established persistence through a scheduled task using the command:  /Create /F /SC DAILY /ST 09:00 /TN WinUpdate /TR , named ""WinUpdate""."
160,T1053,T1053.005,Scheduled Task,"CostaRicto, has used scheduled tasks to download backdoor tools."
161,T1053,T1053.005,Scheduled Task,"Dragonfly 2.0, used scheduled tasks to automatically log out of created accounts every 8 hours as well as to execute malicious files."
162,T1053,T1053.005,Scheduled Task,"Machete, used scheduled tasks for persistence."
163,T1205,T1205.002,Socket Filters,Adversaries may attach filters to a network socket to monitor then activate backdoors used for persistence or command and control.
164,T1205,T1205.002,Socket Filters,"With elevated permissions, adversaries can use features such as the `libpcap` library to open sockets and install filters to allow or disallow certain types of data to come through the socket."
165,T1205,T1205.002,Socket Filters,The filter may apply to all traffic passing through the specified network interface .
166,T1205,T1205.002,Socket Filters,"When the network interface receives a packet matching the filter criteria, additional actions can be triggered on the host, such as activation of a reverse shell."
167,T1205,T1205.002,Socket Filters,"To establish a connection, an adversary sends a crafted packet to the targeted host that matches the installed filter criteria."
168,T1205,T1205.002,Socket Filters,"Adversaries have used these socket filters to trigger the installation of implants, conduct ping backs, and to invoke command shells."
169,T1205,T1205.002,Socket Filters,"Communication with these socket filters may also be used in conjunction with Protocol Tunneling,."
170,T1205,T1205.002,Socket Filters,Filters can be installed on any Unix-like platform with `libpcap` installed or on Windows hosts using `Winpcap`.
171,T1205,T1205.002,Socket Filters,Adversaries may use either `libpcap` with `pcap_setfilter` or the standard library function `setsockopt` with `SO_ATTACH_FILTER` options.
172,T1205,T1205.002,Socket Filters,"Since the socket connection is not active until the packet is received, this behavior may be difficult to detect due to the lack of activity on a host, low CPU overhead, and limited visibility into raw socket usage."
173,T1205,T1205.002,Socket Filters,"PITSTOP, can listen and evaluate incoming commands on the domain socket, created by PITHOOK malware, located at `/data/runtime/cockpit/wd.fd` for a predefined magic byte sequence."
174,T1205,T1205.002,Socket Filters,"PITSTOP, can then duplicate the socket for further communication over TLS."
175,T1205,T1205.002,Socket Filters,"Penquin, installs a `TCP` and `UDP` filter on the `eth0` interface."
176,T1066,T1066,Indicator Removal from Tools,"If a malicious tool is detected and quarantined or otherwise curtailed, an adversary may be able to determine why the malicious tool was detected , modify the tool by removing the indicator, and use the updated version that is no longer detected by the target's defensive systems or subsequent targets that may use similar systems."
177,T1066,T1066,Indicator Removal from Tools,A good example of this is when malware is detected with a file signature and quarantined by anti-virus software.
178,T1066,T1066,Indicator Removal from Tools,"An adversary who can determine that the malware was quarantined because of its file signature may use Software Packing, or otherwise modify the file so it has a different signature, and then re-use the malware."
179,T1560,T1560.001,Archive via Utility,Adversaries may use utilities to compress and/or encrypt collected data prior to exfiltration.
180,T1560,T1560.001,Archive via Utility,"Many utilities include functionalities to compress, encrypt, or otherwise package data into a format that is easier/more secure to transport."
181,T1560,T1560.001,Archive via Utility,Adversaries may abuse various utilities to compress or encrypt data before exfiltration.
182,T1560,T1560.001,Archive via Utility,"Some third party utilities may be preinstalled, such as tar on Linux and macOS or zip on Windows systems."
183,T1560,T1560.001,Archive via Utility,"On Windows, diantz or  makecab may be used to package collected files into a cabinet  file."
184,T1560,T1560.001,Archive via Utility,"diantz may also be used to download and compress files from remote locations  Remote Data Staging,."
185,T1560,T1560.001,Archive via Utility,xcopy on Windows can copy files and directories with a variety of options.
186,T1560,T1560.001,Archive via Utility,"Additionally, adversaries may use certutil, to Base64 encode collected data before exfiltration."
187,T1560,T1560.001,Archive via Utility,"Adversaries may use also third party utilities, such as 7-Zip, WinRAR, and WinZip, to perform similar activities."
188,T1560,T1560.001,Archive via Utility,"Crutch, has used the WinRAR utility to compress and encrypt stolen files."
189,T1560,T1560.001,Archive via Utility,"Okrum, was seen using a RAR archiver tool to compress/decompress data."
190,T1560,T1560.001,Archive via Utility,"ccf32, has used `xcopy \\<target_host>\c$\users\public\path.7z c:\users\public\bin\<target_host>.7z /H /Y` to archive collected files."
191,T1560,T1560.001,Archive via Utility,"InvisiMole, uses WinRAR to compress data that is intended to be exfiltrated."
192,T1560,T1560.001,Archive via Utility,"DustySky, can compress files via RAR while staging data to be exfiltrated."
193,T1560,T1560.001,Archive via Utility,"Daserf, hides collected data in password-protected .rar archives."
194,T1560,T1560.001,Archive via Utility,"PUNCHBUGGY, has Gzipped information and saved it to a random temp file before exfil."
195,T1560,T1560.001,Archive via Utility,"Ramsay, can compress and archive collected files using WinRAR."
196,T1560,T1560.001,Archive via Utility,"Turian, can use WinRAR to create a password-protected archive for files of interest."
197,T1560,T1560.001,Archive via Utility,"IceApple, can encrypt and compress files using Gzip prior to exfiltration."
198,T1560,T1560.001,Archive via Utility,"iKitten, will zip up the /Library/Keychains directory before exfiltrating it."
199,T1560,T1560.001,Archive via Utility,"WindTail, has the ability to use the macOS built-in zip utility to archive files."
200,T1560,T1560.001,Archive via Utility,"CORALDECK, has created password-protected RAR, WinImage, and zip archives to be exfiltrated."
201,T1560,T1560.001,Archive via Utility,"Micropsia, creates a RAR archive based on collected files on the victim's machine."
202,T1560,T1560.001,Archive via Utility,"Octopus, has compressed data before exfiltrating it using a tool called Abbrevia."
203,T1560,T1560.001,Archive via Utility,"OopsIE, compresses collected files with GZipStream before sending them to its C2 server."
204,T1560,T1560.001,Archive via Utility,"Calisto, uses the zip -r command to compress the data collected on the local system."
205,T1560,T1560.001,Archive via Utility,"PowerShower, has used 7Zip to compress .txt, .pdf, .xls or .doc files prior to exfiltration."
206,T1560,T1560.001,Archive via Utility,"AppleSeed, can zip and encrypt data collected on a target system."
207,T1560,T1560.001,Archive via Utility,"PoetRAT, has the ability to compress files with zip."
208,T1560,T1560.001,Archive via Utility,"HAFNIUM, has used 7-Zip and WinRAR to compress stolen files for exfiltration."
209,T1560,T1560.001,Archive via Utility,"menuPass, has compressed files before exfiltration using TAR and RAR."
210,T1560,T1560.001,Archive via Utility,"Wizard Spider, has archived data into ZIP files on compromised machines."
211,T1560,T1560.001,Archive via Utility,"APT33, has used WinRAR to compress data prior to exfil."
212,T1560,T1560.001,Archive via Utility,"Fox Kitten, has used 7-Zip to archive data."
213,T1560,T1560.001,Archive via Utility,"CopyKittens, uses ZPP, a .NET console program, to compress files with ZIP."
214,T1560,T1560.001,Archive via Utility,"Volt Typhoon, has archived the ntds.dit database as a multi-volume password-protected archive with 7-Zip."
215,T1560,T1560.001,Archive via Utility,"APT1, has used RAR to compress files before moving them outside of the victim network."
216,T1560,T1560.001,Archive via Utility,"Mustang Panda, has used RAR to create password-protected archives of collected documents prior to exfiltration."
217,T1560,T1560.001,Archive via Utility,"Chimera, has used gzip for Linux OS and a modified RAR software to archive data on Windows hosts."
218,T1560,T1560.001,Archive via Utility,"Gallmaker, has used WinZip, likely to archive data prior to exfiltration."
219,T1560,T1560.001,Archive via Utility,"APT39, has used WinRAR and 7-Zip to compress an archive stolen data."
220,T1560,T1560.001,Archive via Utility,"APT5, has used the JAR/ZIP file format for exfiltrated files."
221,T1560,T1560.001,Archive via Utility,"GALLIUM, used WinRAR to compress and encrypt stolen data prior to exfiltration."
222,T1560,T1560.001,Archive via Utility,"APT41, created a RAR archive of targeted files for exfiltration."
223,T1560,T1560.001,Archive via Utility,"MuddyWater, has used the native Windows cabinet creation tool, makecab.exe, likely to compress stolen data to be uploaded."
224,T1560,T1560.001,Archive via Utility,"APT28, has used a variety of utilities, including WinRAR, to archive collected data with password protection."
225,T1560,T1560.001,Archive via Utility,"Turla, has encrypted files stolen from connected USB drives into a RAR file before exfiltration."
226,T1560,T1560.001,Archive via Utility,"Sowbug, extracted documents and bundled them into a RAR archive."
227,T1560,T1560.001,Archive via Utility,"BRONZE BUTLER, has compressed data into password-protected RAR archives prior to exfiltration."
228,T1560,T1560.001,Archive via Utility,"Kimsuky, has used QuickZip to archive stolen files before exfiltration."
229,T1560,T1560.001,Archive via Utility,"APT3, has used tools to compress data before exfilling it."
230,T1560,T1560.001,Archive via Utility,"FIN8, has used RAR to compress collected data before exfiltration."
231,T1560,T1560.001,Archive via Utility,"Ke3chang, is known to use 7Zip and RAR with passwords to encrypt data prior to exfiltration."
232,T1560,T1560.001,Archive via Utility,"FIN13, has compressed the dump output of compromised credentials with a 7zip binary."
233,T1560,T1560.001,Archive via Utility,"Earth Lusca, has used WinRAR to compress stolen files into an archive prior to exfiltration."
234,T1560,T1560.001,Archive via Utility,"Magic Hound, has used gzip to archive dumped LSASS process memory and RAR to stage and compress local folders."
235,T1560,T1560.001,Archive via Utility,"Aquatic Panda, has used WinRAR to compress memory dumps prior to exfiltration."
236,T1560,T1560.001,Archive via Utility,"Akira, uses utilities such as WinRAR to archive data prior to exfiltration."
237,T1560,T1560.001,Archive via Utility,"ToddyCat, has leveraged  xcopy, 7zip, and RAR to stage and compress collected documents prior to exfiltration."
238,T1560,T1560.001,Archive via Utility,"UNC2452, used 7-Zip to compress stolen emails into password-protected archives prior to exfiltration."
239,T1560,T1560.001,Archive via Utility,"APT29, used 7-Zip to compress stolen emails into password-protected archives prior to exfiltration; APT29, has also compressed text files into zipped archives."
240,T1560,T1560.001,Archive via Utility,"Operation Wocao, has archived collected files with WinRAR, prior to exfiltration."
241,T1021,T1021.005,VNC,"Adversaries may use Valid Accounts, to remotely control machines using Virtual Network Computing ."
